column_name,row_count,value
CUS_4TH_IND_COD,2087025.000000000000000000,
CUS_4TH_IND_COD,82304.000000000000000000,MXBNFPB15
CUS_4TH_IND_COD,62949.000000000000000000,MXBNFPB19
CUS_4TH_IND_COD,57817.000000000000000000,MXBNFPB67
CUS_4TH_IND_COD,57153.000000000000000000,MXBNFPB24
CUS_4TH_IND_COD,49817.000000000000000000,MXBNFPB16
CUS_4TH_IND_COD,41344.000000000000000000,MXBNFPB18
CUS_4TH_IND_COD,40592.000000000000000000,MXBNFPB06
CUS_4TH_IND_COD,37935.000000000000000000,MXBNFPB23
CUS_4TH_IND_COD,36588.000000000000000000,MXBNFPB21
CUS_4TH_IND_COD,36209.000000000000000000,MXBNFPB12
CUS_4TH_IND_COD,32557.000000000000000000,MXBNFPB13
CUS_4TH_IND_COD,30575.000000000000000000,MXBNFPB17
CUS_4TH_IND_COD,29940.000000000000000000,MXBNFPB69
CUS_4TH_IND_COD,28924.000000000000000000,MXBNFPB28
CUS_4TH_IND_COD,26065.000000000000000000,MXBNFPB25
CUS_4TH_IND_COD,24656.000000000000000000,MXBNFPB62
CUS_4TH_IND_COD,23742.000000000000000000,MXBNFPB11
CUS_4TH_IND_COD,23017.000000000000000000,MXBNFPB05
CUS_4TH_IND_DSC,3973654.000000000000000000,#
CUS_4TH_IND_DSC,2087025.000000000000000000,
CUS_4TH_IND_DSC,82304.000000000000000000,ORIENTE
CUS_4TH_IND_DSC,62949.000000000000000000,GUADALAJARA
CUS_4TH_IND_DSC,57817.000000000000000000,MERIDA
CUS_4TH_IND_DSC,57153.000000000000000000,MONTERREY
CUS_4TH_IND_DSC,49817.000000000000000000,TLALPAN
CUS_4TH_IND_DSC,41344.000000000000000000,TOLUCA
CUS_4TH_IND_DSC,40592.000000000000000000,VALLEJO
CUS_4TH_IND_DSC,37935.000000000000000000,QUERETARO
CUS_4TH_IND_DSC,36588.000000000000000000,LEON
CUS_4TH_IND_DSC,36209.000000000000000000,TULTITLAN
CUS_4TH_IND_DSC,32557.000000000000000000,NAUCALPAN
CUS_4TH_IND_DSC,30575.000000000000000000,CUERNAVACA
CUS_4TH_IND_DSC,29940.000000000000000000,OAXACA
CUS_4TH_IND_DSC,28924.000000000000000000,TIJUANA
CUS_4TH_IND_DSC,26065.000000000000000000,SAN LUIS POTOSI
CUS_4TH_IND_DSC,24660.000000000000000000,CANCUN
CUS_4TH_IND_DSC,23742.000000000000000000,IRAPUATO
CUS_4TH_IND_DSC,23017.000000000000000000,TORREON
DIS_CHL_COD,4396343.000000000000000000,02
DIS_CHL_COD,1010295.000000000000000000,
DIS_CHL_COD,432900.000000000000000000,6
DIS_CHL_COD,398769.000000000000000000,01
DIS_CHL_COD,315080.000000000000000000,1
DIS_CHL_COD,242435.000000000000000000,2
DIS_CHL_COD,190947.000000000000000000,00
DIS_CHL_COD,36949.000000000000000000,7
DIS_CHL_COD,16629.000000000000000000,4
DIS_CHL_COD,12021.000000000000000000,21
DIS_CHL_COD,10637.000000000000000000,03
DIS_CHL_COD,8928.000000000000000000,12
DIS_CHL_COD,7769.000000000000000000,3
DIS_CHL_COD,1360.000000000000000000,14
DIS_CHL_COD,1068.000000000000000000,5
DIS_CHL_COD,736.000000000000000000,05
DIS_CHL_COD,660.000000000000000000,18
DIS_CHL_COD,650.000000000000000000,04
DIS_CHL_COD,451.000000000000000000,9
DIS_CHL_COD,212.000000000000000000,8
DIS_CHL_DSC,4396343.000000000000000000,B To C / Traditional
DIS_CHL_DSC,1010295.000000000000000000,
DIS_CHL_DSC,675335.000000000000000000,HOGAR
DIS_CHL_DSC,398769.000000000000000000,Away From Home
DIS_CHL_DSC,315080.000000000000000000,DETALLE
DIS_CHL_DSC,190947.000000000000000000,Retail
DIS_CHL_DSC,36949.000000000000000000,COMISIONISTA
